GeneID	Pooled.screen.phenotype
PF3D7_1022000	not.classified
PF3D7_0822200	not.classified
PF3D7_0302900	not.classified
PF3D7_0800300	not.classified
PF3D7_1433300	not.classified
PF3D7_1365700	not.classified
PF3D7_1351200	not.classified
PF3D7_1461900	not.classified
PF3D7_1458800	not.classified
PF3D7_0925800	not.classified
PF3D7_0921000	not.classified
PF3D7_1342300	not.classified
PF3D7_0207500	not.classified
PF3D7_0211800	not.classified
PF3D7_1034700	not.classified
PF3D7_1135100	not.classified
PF3D7_0805000	not.classified
PF3D7_1449700	not.classified
PF3D7_1435900	not.classified
PF3D7_0214600	not.classified
PF3D7_0416300	not.classified
PF3D7_0527300	not.classified
PF3D7_1423400	not.classified
PF3D7_0506800	not.classified
PF3D7_0510700	not.classified
PF3D7_0214500	not.classified
PF3D7_1121800	not.classified
PF3D7_0707200	not.classified
PF3D7_1473100	not.classified
PF3D7_0222500	not.classified
PF3D7_0303200	not.classified
PF3D7_0915600	not.classified
PF3D7_0826900	not.classified
PF3D7_0529300	not.classified
PF3D7_1237700	not.classified
PF3D7_0203800	not.classified
PF3D7_0900100	not.classified
PF3D7_1427400	not.classified
PF3D7_1369000	not.classified
PF3D7_1119900	not.classified
PF3D7_0410000	not.classified
PF3D7_1021800	not.classified
PF3D7_1022800	not.classified
PF3D7_0212200	not.classified
PF3D7_1210400	not.classified
PF3D7_1437400	not.classified
PF3D7_0904100	not.classified
PF3D7_0410300	not.classified
PF3D7_0726500	not.classified
PF3D7_1225800	not.classified
PF3D7_1253200	not.classified
PF3D7_0216300	not.classified
PF3D7_0519800	not.classified
PF3D7_1133800	not.classified
PF3D7_0317700	not.classified
PF3D7_0205700	not.classified
PF3D7_1019900	not.classified
PF3D7_1228200	not.classified
PF3D7_1414100	not.classified
PF3D7_1219100	not.classified
PF3D7_1137500	not.classified
PF3D7_1149200	not.classified
PF3D7_1469000	not.classified
PF3D7_1345700	not.classified
PF3D7_0402100	not.classified
PF3D7_1300200	not.classified
PF3D7_1255200	not.classified
PF3D7_1303900	not.classified
PF3D7_1208900	not.classified
PF3D7_1039100	not.classified
PF3D7_1250800	not.classified
PF3D7_1328400	not.classified
PF3D7_1117300	not.classified
PF3D7_1311700	not.classified
PF3D7_1427200	not.classified
PF3D7_1123100	not.classified
PF3D7_0926900	not.classified
PF3D7_0504100	not.classified
PF3D7_1430700	not.classified
PF3D7_0924000	not.classified
PF3D7_0403200	not.classified
PF3D7_1451300	not.classified
PF3D7_0627000	not.classified
PF3D7_1408500	not.classified
PF3D7_0113200	not.classified
PF3D7_0104700	not.classified
PF3D7_0512900	not.classified
PF3D7_1322900	not.classified
PF3D7_0215800	not.classified
PF3D7_1136900	not.classified
PF3D7_1425900	not.classified
PF3D7_1414000	not.classified
PF3D7_0828600	not.classified
PF3D7_0110700	not.classified
PF3D7_1235000	not.classified
PF3D7_0323000	not.classified
PF3D7_1366800	not.classified
PF3D7_0410900	not.classified
PF3D7_0814600	not.classified
PF3D7_0908100	not.classified
PF3D7_0831200	not.classified
PF3D7_1220200	not.classified
PF3D7_1119700	not.classified
PF3D7_1208800	not.classified
PF3D7_1138600	not.classified
PF3D7_1321100	not.classified
PF3D7_0204200	not.classified
PF3D7_0426000	not.classified
PF3D7_0513600	not.classified
PF3D7_1344300	not.classified
PF3D7_1008100	not.classified
PF3D7_0902800	not.classified
PF3D7_1253000	not.classified
PF3D7_1373500	not.classified
PF3D7_0902400	not.classified
PF3D7_1314800	not.classified
PF3D7_0321000	not.classified
PF3D7_0926800	not.classified
PF3D7_0713900	not.classified
PF3D7_0215900	not.classified
PF3D7_1252600	not.classified
PF3D7_0112800	not.classified
PF3D7_0827700	not.classified
PF3D7_1364200	not.classified
PF3D7_0630600	not.classified
PF3D7_1450000	not.classified
PF3D7_1439100	not.classified
PF3D7_1104200	not.classified
PF3D7_1014800	not.classified
PF3D7_0931600	not.classified
PF3D7_1417700	not.classified
PF3D7_0716800	not.classified
PF3D7_0525500	not.classified
PF3D7_1135400	not.classified
PF3D7_0803000	not.classified
PF3D7_1334100	not.classified
PF3D7_0805100	not.classified
PF3D7_0301200	not.classified
PF3D7_0201600	not.classified
PF3D7_0916000	not.classified
PF3D7_0316000	not.classified
PF3D7_1408900	not.classified
PF3D7_1340000	not.classified
