V1	V2
PF3D7_0307400	GO:0005515,GO:0006508,GO:0008233,GO:0009368,GO:0009657,GO:0016787,GO:0020011,GO:0042493
PF3D7_0307500	GO:0005634
PF3D7_0307700	GO:0005634
PF3D7_0307800	GO:0020011
PF3D7_0308000	GO:0003887,GO:0043625,GO:0071897
PF3D7_0308100	GO:0005634
PF3D7_0308200	GO:0005634,GO:0005829,GO:0005832,GO:0006457,GO:0051082
PF3D7_0308300	GO:0009986
PF3D7_0308500	GO:0005634
PF3D7_0308600	GO:0000349,GO:0000974,GO:0005515,GO:0005634
PF3D7_0308700	GO:0005634
PF3D7_0308900	GO:0000398,GO:0003723,GO:0005686
PF3D7_0309000	GO:0005515,GO:0005634,GO:0005737,GO:0006470,GO:0008270,GO:0016791
PF3D7_0309100	GO:0005737,GO:0071976
PF3D7_0309200	GO:0004674
PF3D7_0309500	GO:0005634
PF3D7_0309600	GO:0005634,GO:0006414,GO:0009986,GO:0015934,GO:0020036,GO:0022625,GO:0044228,GO:0044409,GO:0051262
PF3D7_0309700	GO:0003730
PF3D7_0309800	GO:1990247
PF3D7_0310000	GO:0020011
PF3D7_0310100	GO:0004683,GO:0006468
PF3D7_0310200	GO:0005634,GO:0042493
PF3D7_0310300	GO:0003729,GO:0005634
PF3D7_0310400	GO:0005634,GO:0009986,GO:0020002,GO:0085026
PF3D7_0310500	GO:0004386
PF3D7_0310700	GO:0020036
PF3D7_0310900	GO:0005634
PF3D7_0311100	GO:0005634
PF3D7_0311200	GO:0004832,GO:0006438,GO:0020011
PF3D7_0311300	GO:0005634
PF3D7_0311400	GO:0004674,GO:0006468
PF3D7_0311600	GO:0006486,GO:0020011
PF3D7_0311700	GO:0004190,GO:0006508,GO:0044310
PF3D7_0311800	GO:0005634,GO:0005739
PF3D7_0312100	GO:0004842,GO:0020011
PF3D7_0312300	GO:0005622,GO:0005634,GO:0006511,GO:0008541
PF3D7_0312400	GO:0004674,GO:0018105,GO:0020036,GO:0042493
PF3D7_0312500	GO:0016021
PF3D7_0312600	GO:0030533
PF3D7_0312700	GO:0030533
PF3D7_0312800	GO:0005634,GO:0022625
PF3D7_0313100	GO:0005783,GO:0010564,GO:0016887,GO:0030433
PF3D7_0313200	GO:0009986,GO:0020011
PF3D7_0313300	GO:0016020,GO:0020011
PF3D7_0313500	GO:0003924,GO:0005829,GO:0020036
PF3D7_0313700	GO:0020011
PF3D7_0313800	GO:0020011
PF3D7_0313900	GO:0020011
PF3D7_0314300	GO:0016021,GO:0020011,GO:0030433
PF3D7_0314400	GO:0004722,GO:0005634,GO:0005737,GO:0006470
PF3D7_0314700	GO:0005634,GO:0005737,GO:0042393
PF3D7_0315000	GO:0008270
PF3D7_0315100	GO:0000339,GO:0003743,GO:0005515,GO:0005634,GO:0006413,GO:0016281,GO:0043186
PF3D7_0315200	GO:0002312,GO:0020009,GO:0034235,GO:0043395,GO:0044409
PF3D7_0315400	GO:0020011
PF3D7_0315600	GO:0005634
PF3D7_0315700	GO:0016021
PF3D7_0315800	GO:0005634,GO:0005829
PF3D7_0316000	GO:0009986,GO:0020009,GO:0044409,GO:0046812
PF3D7_0316300	GO:0005829,GO:0020011,GO:0071344
PF3D7_0316400	GO:0005634,GO:0020011
PF3D7_0316500	GO:0000775,GO:0005634,GO:0007059,GO:0031262
PF3D7_0316600	GO:0005887,GO:0006846,GO:0006848,GO:0009986,GO:0015650,GO:0015724,GO:0035873,GO:0042493
PF3D7_0316700	GO:0005634,GO:0005783,GO:0007029,GO:0009986,GO:0071786
PF3D7_0316800	GO:0003735,GO:0005634,GO:0006412,GO:0022627
PF3D7_0316900	GO:0004842,GO:0008270,GO:0020011
PF3D7_0317000	GO:0004175,GO:0005839,GO:0006511
PF3D7_0317100	GO:0005886
PF3D7_0317200	GO:0000278,GO:0004672,GO:0005634,GO:0006260,GO:0006468
PF3D7_0317300	GO:0005634
PF3D7_0317500	GO:0003777,GO:0005634,GO:0005871
PF3D7_0317600	GO:0003735,GO:0005634,GO:0022627,GO:1903561
PF3D7_0317800	GO:0005838,GO:0006511,GO:0070682
PF3D7_0317900	GO:0005739
PF3D7_0318100	GO:0005634,GO:0005739
PF3D7_0318200	GO:0003899,GO:0005515,GO:0005634,GO:0006366
PF3D7_0318600	GO:0003729,GO:0005847,GO:0006378,GO:0006379
PF3D7_0318800	GO:0004807,GO:0006096
PF3D7_0319000	GO:0005887,GO:0006812,GO:0015662
PF3D7_0319100	GO:0000151,GO:0004842,GO:0006511
PF3D7_0319200	GO:0004518,GO:0005634,GO:0020011
PF3D7_0319300	GO:0004842
PF3D7_0319400	GO:0005634,GO:0005874,GO:0007019,GO:0016887,GO:0072686
PF3D7_0319500	GO:0003723
PF3D7_0319600	GO:0003746,GO:0005634,GO:0005853,GO:0006414
PF3D7_0319700	GO:0016020,GO:0016021,GO:0042493
PF3D7_0320000	GO:0004865,GO:0005515,GO:0005634,GO:0005737,GO:0043666
PF3D7_0320100	GO:0005484,GO:0005783,GO:0005794,GO:0006886,GO:0006888,GO:0016192,GO:0020036,GO:0030134,GO:0031201,GO:0031338
PF3D7_0320300	GO:0005634,GO:0005829,GO:0005832,GO:0006457,GO:0009986,GO:0051082
PF3D7_0320400	GO:0009986
PF3D7_0320500	GO:0005634,GO:0005737
PF3D7_0320700	GO:0005515,GO:0005783,GO:0005787,GO:0006465,GO:0045047
PF3D7_0320800	GO:0000932,GO:0003729,GO:0004004,GO:0005515,GO:0005634,GO:0005737
PF3D7_0320900	GO:0000785,GO:0000786,GO:0003677,GO:0003682,GO:0005634
PF3D7_0321000	GO:0020011
PF3D7_0321200	GO:0003975,GO:0006487,GO:0006488,GO:0016021,GO:0043541
PF3D7_0321400	GO:0005634,GO:0034399
